CPT,TOP,JNG,MID,ADC,SUP,TEAM,,
 Matsu (14530902), Buggax (14530886), Tierwulf (14530898), Evrot (14530890), pbO (14530900), Panj (14530892), Team oNe (14530904)
 Matsu (14530902), Buggax (14530886), Tierwulf (14530898), Brucer (14530888), pbO (14530900), Riyev (14530894), Team oNe (14530904)
 Matsu (14530902), SkyBart (14530884), Tierwulf (14530898), Evrot (14530890), pbO (14530900), Riyev (14530894), Team oNe (14530904)
 Matsu (14530902), SkyBart (14530884), Tierwulf (14530898), Evrot (14530890), pbO (14530900), Riyev (14530894), Team oNe (14530904)
 Matsu (14530902), Buggax (14530886), Tierwulf (14530898), Evrot (14530890), flare (14530901), esA (14530893), Havan Liberty Gaming (14530905)
 Matsu (14530902), Buggax (14530886), Tierwulf (14530898), dyNquedo (14530889), flare (14530901), Riyev (14530894), Havan Liberty Gaming (14530905)
 Matsu (14530902), Hidan (14530885), Tierwulf (14530898), Evrot (14530890), flare (14530901), Riyev (14530894), Havan Liberty Gaming (14530905)
 Matsu (14530902), Hidan (14530885), Tierwulf (14530898), Evrot (14530890), flare (14530901), Riyev (14530894), Havan Liberty Gaming (14530905)
 Evrot (14530890), Buggax (14530886), Tierwulf (14530898), Brucer (14530888), Matsu (14530902), Panj (14530892), Team oNe (14530904)
 Evrot (14530890), Buggax (14530886), Tierwulf (14530898), Brucer (14530888), pbO (14530900), Riyev (14530894), Team oNe (14530904)
 Evrot (14530890), Buggax (14530886), Ryuzaki (14530896), Brucer (14530888), Matsu (14530902), Riyev (14530894), Team oNe (14530904)
 Evrot (14530890), SkyBart (14530884), Tierwulf (14530898), Brucer (14530888), Matsu (14530902), Riyev (14530894), Team oNe (14530904)
 JackPoT (14530883), Hidan (14530885), Hyoga (14530895), Rainbow (14530887), Sarkis (14530899), esA (14530893), Havan Liberty Gaming (14530905)
 JackPoT (14530883), Hidan (14530885), Cariok (14530897), Rainbow (14530887), Sarkis (14530899), Hawk (14530891), Havan Liberty Gaming (14530905)
 JackPoT (14530883), Hidan (14530885), Hyoga (14530895), dyNquedo (14530889), Sarkis (14530899), esA (14530893), Santos e-Sports (14530903)
 JackPoT (14530883), Hidan (14530885), Hyoga (14530895), dyNquedo (14530889), Sarkis (14530899), esA (14530893), Havan Liberty Gaming (14530905)
 Cariok (14530897), Hidan (14530885), Hyoga (14530895), dyNquedo (14530889), flare (14530901), Hawk (14530891), Santos e-Sports (14530903)
 Cariok (14530897), Hidan (14530885), Hyoga (14530895), dyNquedo (14530889), Sarkis (14530899), esA (14530893), Santos e-Sports (14530903)
 Cariok (14530897), Hidan (14530885), Hyoga (14530895), Rainbow (14530887), flare (14530901), esA (14530893), Santos e-Sports (14530903)
 Cariok (14530897), JackPoT (14530883), Hyoga (14530895), dyNquedo (14530889), flare (14530901), esA (14530893), Santos e-Sports (14530903)
 Hawk (14530891), JackPoT (14530883), Hyoga (14530895), Rainbow (14530887), pbO (14530900), Panj (14530892), Team oNe (14530904)
 Hawk (14530891), SkyBart (14530884), Hyoga (14530895), Rainbow (14530887), Sarkis (14530899), Panj (14530892), Team oNe (14530904)